student	num_awards	program	math_score
1	0	vocational	40
2	0	vocational	33
3	0	academic	48
4	1	academic	41
5	1	academic	43
6	0	academic	46
7	1	academic	59
8	0	academic	52
9	0	vocational	52
10	1	general	49
11	0	academic	45
12	0	vocational	45
13	0	vocational	39
14	1	academic	54
15	0	vocational	44
16	0	vocational	44
17	0	academic	48
18	0	vocational	49
19	0	general	43
20	0	academic	57
21	0	general	61
22	1	vocational	39
23	3	academic	64
24	0	academic	66
25	0	general	42
26	4	academic	62
27	1	academic	61
28	0	general	54
29	0	general	49
30	0	academic	42
31	0	general	52
32	0	vocational	66
33	2	academic	72
34	3	academic	57
35	0	general	50
36	1	general	44
37	0	vocational	40
38	3	academic	50
39	2	academic	67
40	0	general	43
41	1	academic	45
42	0	vocational	55
43	0	academic	43
44	0	vocational	45
45	0	vocational	41
46	0	academic	44
47	0	academic	49
48	0	academic	52
49	0	vocational	39
50	0	general	42
51	0	general	42
52	0	academic	53
53	0	vocational	46
54	0	general	46
55	0	academic	49
56	0	vocational	46
57	0	academic	72
58	0	vocational	40
59	1	academic	63
60	0	academic	51
61	1	academic	60
62	0	general	48
63	0	general	60
64	0	vocational	45
65	2	academic	66
66	2	vocational	56
67	0	vocational	42
68	1	academic	71
69	0	vocational	40
70	0	general	41
71	0	general	56
72	0	vocational	47
73	1	academic	53
74	0	academic	50
75	1	vocational	51
76	1	academic	51
77	0	academic	49
78	0	academic	54
79	2	academic	49
80	1	academic	68
81	0	academic	59
82	1	academic	65
83	0	vocational	41
84	0	general	54
85	0	general	57
86	0	general	54
87	0	general	46
88	1	academic	64
89	0	vocational	40
90	2	academic	50
91	0	vocational	56
92	0	general	57
93	2	academic	62
94	1	academic	61
95	5	academic	71
96	5	academic	61
97	0	academic	58
98	1	vocational	51
99	0	general	56
100	2	academic	71
101	0	academic	67
102	0	academic	51
103	0	academic	64
104	1	academic	57
105	0	academic	45
106	0	vocational	37
107	0	vocational	47
108	0	general	41
109	0	general	42
110	0	vocational	50
111	0	general	39
112	0	academic	48
113	0	academic	51
114	0	academic	62
115	0	general	43
116	0	academic	54
117	0	vocational	39
118	1	general	58
119	0	general	45
120	0	academic	54
121	0	vocational	53
122	3	academic	58
123	1	general	56
124	1	vocational	41
125	1	academic	58
126	0	general	57
127	3	academic	57
128	0	academic	38
129	0	general	46
130	0	general	55
131	0	academic	57
132	3	academic	73
133	0	vocational	40
134	0	general	39
135	2	academic	65
136	4	academic	70
137	3	academic	65
138	1	vocational	40
139	1	academic	61
140	1	vocational	40
141	0	vocational	47
142	0	vocational	52
143	2	vocational	75
144	1	general	58
145	0	vocational	38
146	1	academic	64
147	1	academic	53
148	1	vocational	51
149	0	general	49
150	0	vocational	57
151	1	vocational	52
152	1	academic	56
153	0	vocational	40
154	1	academic	66
155	1	general	46
156	1	academic	53
157	0	general	58
158	1	general	55
159	1	academic	54
160	0	academic	55
161	2	academic	72
162	0	vocational	40
163	3	academic	64
164	0	vocational	46
165	0	vocational	54
166	0	academic	53
167	0	general	35
168	0	academic	57
169	1	general	63
170	1	academic	61
171	3	academic	60
172	1	academic	57
173	0	general	61
174	2	academic	71
175	1	general	42
176	0	academic	41
177	0	academic	62
178	0	vocational	57
179	1	academic	60
180	0	academic	69
181	0	academic	45
182	0	academic	43
183	0	academic	49
184	0	vocational	53
185	0	academic	55
186	1	academic	63
187	0	general	57
188	0	academic	56
189	0	academic	63
190	1	academic	54
191	0	academic	43
192	2	academic	63
193	1	academic	48
194	6	academic	69
195	0	general	60
196	0	academic	49
197	0	academic	50
198	0	academic	51
199	1	academic	50
200	1	academic	75

