PLOT	SPECIES	HEIGHT	STATUS	LIGHT	CONS	CONBA
1	PSYBRA	52	1	0.205	1	18.01648409
1	PIPGLA	40	1	0.205	1	0.899202357
1	PIPGLA	33	0	0.205	1	0.899202357
1	ANDINE	41	0	0.205	0	0
1	PREMON	90	1	0.205	6	3633.102678
1	SLOBER	130	1	0.205	1	67.54573431
1	GUAGUI	26	1	0.205	6	0
1	DACEXC	23	0	0.205	0	849.598023
1	OCOSIN	15	1	0.205	1	0
1	PREMON	72	1	0.205	6	3633.102678
1	GUAGUI	13.9	0	0.205	6	0
1	MYRSPL	33	1	0.205	0	2.630219909
1	SLOBER	15	0	0.205	1	67.54573431
1	SAPLAU	12	0	0.205	0	383.596317
1	GUAGUI	15	0	0.205	6	0
1	PREMON	45.4	1	0.205	6	3633.102678
1	PREMON	45	1	0.205	6	3633.102678
1	INGVER	20	0	0.205	0	0
1	PREMON	55	1	0.205	6	3633.102678
1	PREMON	44	1	0.205	6	3633.102678
1	GUAGLA	26.9	1	0.205	2	0
1	GUAGLA	13	0	0.205	2	0
1	GUAGUI	14	0	0.205	6	0
1	GUAGUI	11	0	0.205	6	0
1	GUAGUI	12.5	0	0.205	6	0
1	OCOSIN	22.9	0	0.205	1	0
1	PREMON	80	1	0.205	6	3633.102678
1	GUAGLA	22	0	0.205	2	0
2	PREMON	34.5	1	0.13	3	2073.796727
2	DACEXC	15	0	0.13	0	5399.874853
2	ANDINE	24	0	0.13	0	655.9724001
2	PREMON	29	1	0.13	3	2073.796727
2	PREMON	19	1	0.13	3	2073.796727
2	SAPLAU	14	0	0.13	1	0
2	GUAGUI	11	0	0.13	2	201.0619298
2	PSYDEF	21.9	0	0.13	0	0
2	PREMON	37	0	0.13	3	2073.796727
2	GUAGUI	11.2	1	0.13	2	201.0619298
2	TETBAL	12	0	0.13	0	27.54344235
2	SAPLAU	11	0	0.13	1	0
2	GUAGUI	14	0	0.13	2	201.0619298
3	TETBAL	18.2	0	0.206	4	1153.243556
3	MANBID	17	1	0.206	4	731.9390949
3	SCHMOR	23.5	1	0.206	5	0
3	MYRLEP	39	1	0.206	4	214.6208866
3	ALCFLO	14	0	0.206	1	0
3	TETBAL	21.9	0	0.206	4	1153.243556
3	EUGSTA	30	1	0.206	1	6.649023772
3	MICPRA	35.8	1	0.206	0	61.22359325
3	TETBAL	32	1	0.206	4	1153.243556
3	EUGSTA	12	1	0.206	1	6.649023772
3	MYRLEP	133	1	0.206	4	214.6208866
3	PREMON	11.5	0	0.206	1	0
3	ALCFLO	12	1	0.206	1	0
3	MANBID	11.2	1	0.206	4	731.9390949
3	MYRLEP	30.2	1	0.206	4	214.6208866
3	MYRLEP	35	1	0.206	4	214.6208866
3	ROYBOR	30	0	0.206	0	0
3	SCHMOR	20	1	0.206	5	0
3	SCHMOR	28	1	0.206	5	0
3	SCHMOR	14	1	0.206	5	0
3	MANBID	13	1	0.206	4	731.9390949
3	MANBID	11.5	1	0.206	4	731.9390949
3	MANBID	10.2	1	0.206	4	731.9390949
3	GUAGUI	11	1	0.206	1	0
3	CASARB	10.5	1	0.206	0	227.4352075
3	SCHMOR	16.5	1	0.206	5	0
3	PREMON	22	1	0.206	1	0
3	GUAGUI	10.2	0	0.206	1	0
3	SCHMOR	11	0	0.206	5	0
3	TETBAL	11.1	0	0.206	4	1153.243556
3	TETBAL	14.5	1	0.206	4	1153.243556
3	MYRLEP	14	1	0.206	4	214.6208866
4	PREMON	40	1	0.179	101	2300.658986
4	PREMON	55	1	0.179	101	2300.658986
4	PREMON	37	1	0.179	101	2300.658986
4	PREMON	24	1	0.179	101	2300.658986
4	PREMON	43	1	0.179	101	2300.658986
4	GUAGUI	14	1	0.179	20	0
4	GUAGUI	12	0	0.179	20	0
4	PREMON	40	1	0.179	101	2300.658986
4	PREMON	30	0	0.179	101	2300.658986
4	GUAGUI	16	0	0.179	20	0
4	PREMON	11	0	0.179	101	2300.658986
4	PREMON	26	1	0.179	101	2300.658986
4	PREMON	52	1	0.179	101	2300.658986
4	PREMON	39	1	0.179	101	2300.658986
4	TETBAL	17	1	0.179	1	662.9440654
4	PALRIP	30	0	0.179	0	39.2900929
4	GUAGUI	15	1	0.179	20	0
4	GUAGUI	13	0	0.179	20	0
4	DACEXC	20	0	0.179	1	2006.063989
4	PREMON	40	1	0.179	101	2300.658986
4	MANBID	11	1	0.179	2	1544.714275
4	PREMON	46	1	0.179	101	2300.658986
4	PREMON	50	1	0.179	101	2300.658986
4	PREMON	46	1	0.179	101	2300.658986
4	PREMON	30	1	0.179	101	2300.658986
4	PREMON	35	1	0.179	101	2300.658986
4	PREMON	23	0	0.179	101	2300.658986
4	PREMON	38	1	0.179	101	2300.658986
4	PREMON	32	1	0.179	101	2300.658986
4	PREMON	50	1	0.179	101	2300.658986
4	SCHMOR	11	0	0.179	0	206.119894
4	PREMON	38	1	0.179	101	2300.658986
4	PREMON	61	1	0.179	101	2300.658986
4	PREMON	38	1	0.179	101	2300.658986
4	PREMON	47	1	0.179	101	2300.658986
4	GUAGUI	15	0	0.179	20	0
4	GUAGUI	14	0	0.179	20	0
4	GUAGUI	10.2	0	0.179	20	0
4	GUAGUI	10	0	0.179	20	0
4	GUAGUI	21	0	0.179	20	0
4	DACEXC	16	0	0.179	1	2006.063989
4	PREMON	24	0	0.179	101	2300.658986
4	GUAGUI	10	0	0.179	20	0
4	GUAGUI	36	0	0.179	20	0
4	PREMON	24	0	0.179	101	2300.658986
4	PREMON	25	0	0.179	101	2300.658986
4	PREMON	22	1	0.179	101	2300.658986
4	PREMON	18	0	0.179	101	2300.658986
4	PSYBRA	85	1	0.179	0	0.833228912
4	PREMON	53	1	0.179	101	2300.658986
4	PREMON	33	0	0.179	101	2300.658986
4	PREMON	15	0	0.179	101	2300.658986
4	PREMON	28	1	0.179	101	2300.658986
4	PREMON	28	1	0.179	101	2300.658986
4	PREMON	25	1	0.179	101	2300.658986
4	PREMON	65	1	0.179	101	2300.658986
4	PREMON	60	1	0.179	101	2300.658986
4	GUAGUI	13	0	0.179	20	0
4	PREMON	19	1	0.179	101	2300.658986
4	PREMON	14	0	0.179	101	2300.658986
4	PREMON	30	1	0.179	101	2300.658986
4	PREMON	39	1	0.179	101	2300.658986
4	PREMON	30	1	0.179	101	2300.658986
4	PREMON	74	1	0.179	101	2300.658986
4	PREMON	50	1	0.179	101	2300.658986
4	PREMON	33	1	0.179	101	2300.658986
4	PREMON	15	1	0.179	101	2300.658986
4	PREMON	20	0	0.179	101	2300.658986
4	PREMON	20	0	0.179	101	2300.658986
4	PREMON	38	1	0.179	101	2300.658986
4	PREMON	20	1	0.179	101	2300.658986
4	PREMON	11	1	0.179	101	2300.658986
4	PREMON	20	1	0.179	101	2300.658986
4	PREMON	33	1	0.179	101	2300.658986
4	PREMON	17	0	0.179	101	2300.658986
4	PREMON	31	1	0.179	101	2300.658986
4	PREMON	25	1	0.179	101	2300.658986
4	PREMON	11	0	0.179	101	2300.658986
4	PREMON	21	1	0.179	101	2300.658986
4	PREMON	14	1	0.179	101	2300.658986
4	PREMON	30	1	0.179	101	2300.658986
4	PREMON	28	1	0.179	101	2300.658986
4	PREMON	20	1	0.179	101	2300.658986
4	PREMON	22	1	0.179	101	2300.658986
4	PREMON	28	0	0.179	101	2300.658986
4	PREMON	32	1	0.179	101	2300.658986
4	PREMON	23	1	0.179	101	2300.658986
4	PREMON	28	0	0.179	101	2300.658986
4	PREMON	30	1	0.179	101	2300.658986
4	PREMON	16	0	0.179	101	2300.658986
4	PREMON	40	1	0.179	101	2300.658986
4	PREMON	35	0	0.179	101	2300.658986
4	PREMON	30	1	0.179	101	2300.658986
4	PREMON	37	1	0.179	101	2300.658986
4	PREMON	35	1	0.179	101	2300.658986
4	PREMON	33	1	0.179	101	2300.658986
4	PREMON	20	1	0.179	101	2300.658986
4	PREMON	30	1	0.179	101	2300.658986
4	TETBAL	18	1	0.179	1	662.9440654
4	PREMON	42	1	0.179	101	2300.658986
4	PREMON	26	1	0.179	101	2300.658986
4	PREMON	34	1	0.179	101	2300.658986
4	PREMON	50	1	0.179	101	2300.658986
4	PREMON	30	0	0.179	101	2300.658986
4	GUAGUI	22	0	0.179	20	0
4	PREMON	30	0	0.179	101	2300.658986
4	GUAGUI	28	0	0.179	20	0
4	PREMON	49	1	0.179	101	2300.658986
4	SAPLAU	16	0	0.179	0	0
4	PREMON	40	1	0.179	101	2300.658986
4	PREMON	48	1	0.179	101	2300.658986
4	PREMON	44	1	0.179	101	2300.658986
4	MANBID	12	1	0.179	2	1544.714275
4	PSYMAL	40	1	0.179	5	0
4	PSYMAL	30	1	0.179	5	0
4	PREMON	55	1	0.179	101	2300.658986
4	PREMON	34	1	0.179	101	2300.658986
4	PREMON	28.5	1	0.179	101	2300.658986
4	PREMON	30	0	0.179	101	2300.658986
4	PREMON	32	1	0.179	101	2300.658986
4	PSYMAL	15	1	0.179	5	0
4	GUAGUI	13	0	0.179	20	0
4	PREMON	16	0	0.179	101	2300.658986
4	PSYMAL	37	1	0.179	5	0
4	GUAGUI	22	0	0.179	20	0
4	PSYMAL	32	1	0.179	5	0
4	PREMON	34	1	0.179	101	2300.658986
4	PSYMAL	24	1	0.179	5	0
4	PREMON	50	1	0.179	101	2300.658986
4	GUAGUI	12	1	0.179	20	0
4	GUAGUI	16	0	0.179	20	0
4	PREMON	44	1	0.179	101	2300.658986
4	GUAGUI	16	0	0.179	20	0
4	MANBID	17	1	0.179	2	1544.714275
4	PREMON	30	1	0.179	101	2300.658986
4	PREMON	40	1	0.179	101	2300.658986
4	PREMON	41	1	0.179	101	2300.658986
4	GUAGUI	11	0	0.179	20	0
5	GUAGUI	16	0	0.153	5	2826.946441
5	GUAGUI	12	0	0.153	5	2826.946441
5	GUAGUI	28	0	0.153	5	2826.946441
5	PREMON	28	1	0.153	0	2816.005845
5	GUAGUI	10.6	1	0.153	5	2826.946441
5	PIPGLA	14	0	0.153	0	0
5	GUAGUI	10.5	0	0.153	5	2826.946441
5	GUAGUI	12	0	0.153	5	2826.946441
6	GUAGUI	10	0	0.104	7	2378.617608
6	SLOBER	18	0	0.104	3	2595.914896
6	SLOBER	14.2	0	0.104	3	2595.914896
6	MYRSPL	13	1	0.104	0	1.431388153
6	PREMON	18	1	0.104	1	3384.909005
6	GUAGUI	12	0	0.104	7	2378.617608
6	GUAGUI	13	0	0.104	7	2378.617608
6	ROYBOR	23.5	0	0.104	1	0
6	PIPGLA	12	0	0.104	1	0
6	PIPGLA	11.5	1	0.104	1	0
6	ROYBOR	41	0	0.104	1	0
6	GUAGUI	13.5	1	0.104	7	2378.617608
6	GUAGUI	15	0	0.104	7	2378.617608
6	SLOBER	12	1	0.104	3	2595.914896
6	GUAGUI	12	0	0.104	7	2378.617608
6	GUAGUI	12.5	0	0.104	7	2378.617608
6	GUAGUI	14	0	0.104	7	2378.617608
6	PREMON	21.5	0	0.104	1	3384.909005
6	SLOBER	15	0	0.104	3	2595.914896
7	SCHMOR	11.5	1	0.299	0	25.0330742
7	GUAGUI	16.5	0	0.299	7	2925.638082
7	GUAGUI	12	1	0.299	7	2925.638082
